filename,latency_ms,speech,environment,situation,dominant_state
eval_031_hospital_environments.mp3,134.24820900020785,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_032_conversations.mp3,117.81050000020623,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_033_mixed_acoustic_environments.mp3,117.74637499987075,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_034_offices.mp3,115.27725000026403,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_035_mixed_acoustic_environments.mp3,135.61700000021227,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_036_police_situations.mp3,119.44699999988298,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_037_traffic.mp3,118.14212499969581,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_038_mixed_acoustic_environments.mp3,141.10495899997767,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_039_conversations.wav,121.34975000010964,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_040_police_situations.mp3,144.5935410000231,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_041_traffic.mp3,130.135334000289,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_042_markets.mp3,115.96149999998597,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_043_lectures.mp3,117.51612499968469,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_044_offices.mp3,115.27512499999939,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_045_hospital_environments.mp3,127.43895900014759,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_046_traffic.mp3,111.05354199965514,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_047_police_situations.mp3,117.46312499993219,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_048_meetings.mp3,115.21183299994955,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_049_homes.mp3,136.067000000213,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
eval_050_airports.mp3,118.20487500002055,Simulated transcript.,Simulated environment.,Simulated human-oriented situation.,Mocked Situation State
